H3_INDEX,ANO_SEMANA,QTD_CRIMES,ALVO
89a80049a63ffff,2023-43,6,1
89a800519d3ffff,2023-04,4,1
89a80051d03ffff,2023-23,1,1
89a80051d03ffff,2023-44,2,1
89a80051d17ffff,2023-16,2,1
89a80051d67ffff,2023-02,1,1
89a80051d77ffff,2023-44,7,1
89a80051d7bffff,2023-15,9,1
89a80051d7bffff,2023-19,2,1
89a80051d7bffff,2023-50,1,1
89a80051dbbffff,2023-19,6,1
89a8006a4c7ffff,2022-52,6,1
89a8006a4cbffff,2023-28,6,1
89a8006a4cbffff,2023-29,5,1
89a8006a4cbffff,2023-43,4,1
89a8007b0d7ffff,2023-37,17,1
89a8020d9bbffff,2023-47,2,1
89a8021752bffff,2023-47,1,1
89a8022d047ffff,2023-49,4,1
89a8022d057ffff,2023-14,1,1
89a8022d07bffff,2023-49,1,1
89a8022d22fffff,2023-31,1,1
89a8022d243ffff,2023-15,1,1
89a8022d24bffff,2023-17,1,1
89a8022d24bffff,2023-48,1,1
89a8022d24fffff,2023-24,1,1
89a8022d25bffff,2023-15,1,1
89a8022d273ffff,2023-52,5,1
89a8022d29bffff,2023-09,1,1
89a8022d29bffff,2023-24,1,1
89a8022d3cfffff,2023-21,1,1
89a8023294fffff,2023-01,1,1
89a8023294fffff,2023-08,1,1
89a8023294fffff,2023-20,4,1
89a8023294fffff,2023-44,1,1
89a80233507ffff,2023-50,7,1
89a8023a683ffff,2023-10,1,1
89a8024219bffff,2023-39,3,1
89a80242a43ffff,2023-38,1,1
89a80244453ffff,2023-05,22,1
89a802462cbffff,2023-12,6,1
89a80247137ffff,2023-03,1,1
89a8024752fffff,2023-29,2,1
89a80247567ffff,2023-14,1,1
89a80249453ffff,2023-07,1,1
89a80249453ffff,2023-14,1,1
89a80256b2fffff,2023-28,6,1
89a8025862fffff,2023-06,1,1
89a80259107ffff,2023-04,15,1
89a80259107ffff,2023-10,2,1
89a8025914bffff,2023-01,1,1
89a80259307ffff,2022-52,1,1
89a80259307ffff,2023-39,1,1
89a8025931bffff,2023-14,1,1
89a8025932fffff,2023-22,1,1
89a80259353ffff,2023-08,4,1
89a8025937bffff,2023-39,7,1
89a8025938bffff,2023-09,4,1
89a8025938bffff,2023-13,1,1
89a8025938bffff,2023-45,1,1
89a802593b3ffff,2023-42,4,1
89a80259e4bffff,2023-01,1,1
89a80259e7bffff,2023-11,12,1
89a80259e7bffff,2023-16,4,1
89a802654d3ffff,2023-20,20,1
89a80269b6fffff,2023-26,1,1
89a8026e893ffff,2023-20,1,1
89a8026ec4bffff,2023-20,5,1
89a8026ec57ffff,2023-43,10,1
89a8026ec6bffff,2023-05,5,1
89a8026eeabffff,2023-34,4,1
89a8026eeb7ffff,2023-07,2,1
89a8026eeb7ffff,2023-11,3,1
89a8026eeb7ffff,2023-29,1,1
89a8026eeb7ffff,2023-44,1,1
89a80280017ffff,2023-14,2,1
89a8028009bffff,2023-40,1,1
89a80280407ffff,2023-04,1,1
89a80280407ffff,2023-17,1,1
89a80280413ffff,2023-23,1,1
89a8028041bffff,2022-22,4,1
89a8028041bffff,2023-02,1,1
89a8028041bffff,2023-20,9,1
89a8028041bffff,2023-34,15,1
89a8028041bffff,2023-35,1,1
89a8028041bffff,2023-44,1,1
89a8028041bffff,2023-46,1,1
89a8028041bffff,2023-48,1,1
89a80280437ffff,2023-09,1,1
89a80280443ffff,2023-47,1,1
89a80280457ffff,2023-47,5,1
89a8028045bffff,2023-30,5,1
89a80280463ffff,2023-20,1,1
89a8028046bffff,2023-16,4,1
89a80280473ffff,2023-22,1,1
89a80280487ffff,2023-25,1,1
89a80280497ffff,2023-29,1,1
89a802804cfffff,2023-51,1,1
89a8028061bffff,2023-28,5,1
89a8028222bffff,2023-20,2,1
89a80282237ffff,2023-21,1,1
89a8028236bffff,2023-42,1,1
89a80283103ffff,2023-23,11,1
89a80283107ffff,2023-28,7,1
89a80283123ffff,2023-30,4,1
89a80283127ffff,2023-29,10,1
89a80283127ffff,2023-52,5,1
89a80283153ffff,2023-51,1,1
89a802831cfffff,2023-51,1,1
89a8028a14bffff,2023-49,11,1
89a8028b3b3ffff,2023-05,5,1
89a80290553ffff,2023-13,1,1
89a802968c7ffff,2023-18,1,1
89a802a5343ffff,2023-30,1,1
89a802a534fffff,2023-49,1,1
89a802ae96bffff,2023-01,1,1
89a802ae96bffff,2023-20,1,1
89a802ae96bffff,2023-22,1,1
89a802aeca7ffff,2023-17,4,1
89a802b3403ffff,2023-25,1,1
89a802b5babffff,2023-48,2,1
89a802c4e13ffff,2023-25,18,1
89a802c4e17ffff,2023-37,1,1
89a802c4e53ffff,2022-52,2,1
89a802c4e57ffff,2023-03,1,1
89a802c4e93ffff,2023-45,1,1
89a802d325bffff,2023-26,1,1
89a802da81bffff,2023-46,1,1
89a802da847ffff,2023-03,1,1
89a802da847ffff,2023-10,1,1
89a802da847ffff,2023-14,1,1
89a802da847ffff,2023-16,1,1
89a802da847ffff,2023-20,1,1
89a802da847ffff,2023-34,1,1
89a802da84bffff,2023-50,1,1
89a802da87bffff,2023-22,1,1
89a802da8cfffff,2023-20,1,1
89a802dab03ffff,2023-15,1,1
89a802dab03ffff,2023-16,10,1
89a802dae0bffff,2023-23,1,1
89a802dae23ffff,2023-05,4,1
89a802dae27ffff,2023-16,1,1
89a802dae57ffff,2023-05,4,1
89a80302907ffff,2022-08,1,1
89a80302907ffff,2023-45,7,1
89a80302a0bffff,2023-15,1,1
89a80302a0bffff,2023-42,10,1
89a80302a8fffff,2023-09,17,1
89a80303063ffff,2023-46,5,1
89a803033b3ffff,2023-16,4,1
89a803033b3ffff,2023-43,5,1
89a8030408fffff,2023-15,4,1
89a8030439bffff,2022-52,6,1
89a8030439bffff,2023-47,1,1
89a80304c07ffff,2023-45,22,1
89a8030546fffff,2023-16,8,1
89a8030600bffff,2023-50,5,1
89a803062b7ffff,2023-14,5,1
89a80306653ffff,2023-51,1,1
89a80307087ffff,2023-36,5,1
89a80307087ffff,2023-49,5,1
89a803070abffff,2023-48,5,1
89a803070afffff,2023-43,1,1
89a8030711bffff,2023-41,8,1
89a8030711bffff,2023-50,4,1
89a8030718bffff,2023-34,1,1
89a8030718fffff,2023-51,1,1
89a803071a7ffff,2023-36,5,1
89a803071c7ffff,2023-22,21,1
89a803071cbffff,2023-36,6,1
89a80307427ffff,2023-02,9,1
89a8030742fffff,2023-41,5,1
89a8030748bffff,2023-38,5,1
89a803074a7ffff,2023-43,4,1
89a80307503ffff,2023-30,5,1
89a8030750bffff,2023-42,1,1
89a8030750fffff,2023-05,1,1
89a8030751bffff,2023-02,5,1
89a8030751bffff,2023-08,10,1
89a8030751bffff,2023-24,5,1
89a8030751bffff,2023-29,1,1
89a8030751bffff,2023-34,20,1
89a8030751bffff,2023-42,2,1
89a8030751bffff,2023-47,16,1
89a80307523ffff,2023-02,10,1
89a80307537ffff,2023-07,4,1
89a80307543ffff,2023-02,1,1
89a80307547ffff,2023-19,5,1
89a8030754bffff,2023-22,11,1
89a8030754fffff,2023-29,5,1
89a80307557ffff,2023-52,5,1
89a8030756fffff,2023-01,1,1
89a8030756fffff,2023-19,1,1
89a80307573ffff,2023-16,1,1
89a80307573ffff,2023-18,6,1
89a80307577ffff,2023-09,5,1
89a80307583ffff,2023-14,5,1
89a803075b3ffff,2023-37,5,1
89a803075c3ffff,2023-25,1,1
89a803075c3ffff,2023-32,1,1
89a803075d7ffff,2023-19,5,1
89a803075d7ffff,2023-39,2,1
89a80308803ffff,2023-36,4,1
